Issue Type,Summary,Description,Priority,Status,Labels,Epic Name,Epic Link,Story Points,Parallel Stream,Dependency Hint
"Epic","Core Platform Stability and Lifecycle","Stabilize app lifecycle DB reliability and IPC foundations for production-safe desktop behavior.","Highest","To Do","v1-0,epic,lane-core","TI-EPIC-01 Core Platform Stability","",,"lane-core",""
"Epic","Library Management and Discovery","Complete library ingestion discovery and long-running import resilience for v1.0.","High","To Do","v1-0,epic,lane-library","TI-EPIC-02 Library Management","",,"lane-library",""
"Epic","Playlist Management","Finish playlist authoring editing and accurate counters for v1.0 usability.","High","To Do","v1-0,epic,lane-playlist","TI-EPIC-03 Playlist Management","",,"lane-playlist",""
"Epic","Playback Experience","Deliver robust transport controls queue behavior and playback UX expected in v1.0.","High","To Do","v1-0,epic,lane-playback","TI-EPIC-04 Playback Experience","",,"lane-playback",""
"Epic","Device Sync MVP","Ship end-to-end playlist sync to removable devices with progress and safety checks.","Highest","To Do","v1-0,epic,lane-device","TI-EPIC-05 Device Sync MVP","",,"lane-device",""
"Epic","Export and Conversion","Complete export UX and conversion reliability paths around existing backend helpers.","High","To Do","v1-0,epic,lane-export","TI-EPIC-06 Export and Conversion","",,"lane-export",""
"Epic","Security and Hardening","Harden Electron runtime IPC validation and path safety for desktop security baseline.","Highest","To Do","v1-0,epic,lane-security","TI-EPIC-07 Security and Hardening","",,"lane-security",""
"Epic","QA CI and Release","Establish deterministic test CI and release automation for repeatable delivery.","Highest","To Do","v1-0,epic,lane-qa","TI-EPIC-08 QA CI Release","",,"lane-qa",""
"Epic","Docs and Program Management","Operationalize docs acceptance criteria and dispatch mechanics for Gastown delivery.","Medium","To Do","v1-0,epic,lane-pm","TI-EPIC-09 Docs Program Management","",,"lane-pm",""
"Story","Bootstrap Electron and React application shell","Initial cross-process shell and renderer startup are implemented and used as baseline.","Medium","Done","v1-0,lane-core,backend,frontend","","TI-EPIC-01 Core Platform Stability",3,"lane-core","None"
"Story","Initialize SQLite schema and DB bootstrap","Tracks playlists playlist_tracks and devices schema plus DB init are present.","Medium","Done","v1-0,lane-core,backend,data","","TI-EPIC-01 Core Platform Stability",3,"lane-core","None"
